emp_no,first_name,last_name,title,birth_date
10152,Jaques,Munro,Engineer,1954-12-01
10153,Heekeun,Majewski,Assistant Engineer,1955-12-15
10157,Nigel,Aloisi,Senior Engineer,1954-04-23
10159,Serif,Buescher,Senior Engineer,1955-03-03
10160,Debatosh,Khasidashvili,Senior Staff,1953-10-18
10161,Hairong,Mellouli,Engineer,1953-04-06
10163,Karsten,Szmurlo,Senior Staff,1952-09-17
10166,Samphel,Siegrist,Engineer,1953-05-10
10177,Pragnesh,Iisaka,Staff,1954-11-08
10183,Mechthild,Bonifati,Staff,1954-10-17
10186,Shigehito,Kropatsch,Staff,1953-07-16
10189,Khalid,Erva,Engineer,1955-11-12
10194,Josyula,Hofmeyr,Senior Staff,1954-01-29
10196,Marc,Hellwagner,Staff,1954-01-27
10198,Pranav,Furedi,Senior Engineer,1953-05-28
10203,Steen,Escriba,Senior Staff,1955-07-27
10205,Mabhin,Leijenhorst,Senior Engineer,1953-05-20
10207,Girolamo,Anandan,Senior Engineer,1955-05-28
10215,Xiaobin,Duclos,Senior Staff,1954-04-02
10217,Yongmin,Roison,Technique Leader,1954-07-07
10219,Genta,Kolvik,Senior Staff,1952-05-02
10224,Leon,Trogemann,Senior Engineer,1954-05-17
10228,Karoline,Cesareni,Senior Staff,1953-04-21
10229,Ulises,Takanami,Engineer,1952-02-10
10230,Clyde,Vernadat,Senior Staff,1955-09-11
10233,Lein,Vendrig,Senior Staff,1954-04-01
10237,Yannis,Mandell,Senior Staff,1952-09-22
10239,Nikolaos,Llado,Staff,1955-03-31
10240,Remko,Maccarone,Engineer,1952-04-01
10248,Frederique,Tempesti,Senior Staff,1955-09-24
10249,Marie,Boreale,Senior Engineer,1954-06-10
10258,Basil,Ishibashi,Senior Engineer,1955-12-12
10262,Mahendra,Maraist,Staff,1955-08-04
10272,Yishai,Cannane,Staff,1954-11-30
10278,Lubomir,Nitsch,Engineer,1955-03-09
10281,Moty,Kusakari,Senior Engineer,1953-05-13
10282,Hercules,Benzmuller,Engineer,1953-11-27
10283,Kauko,Birjandi,Senior Engineer,1953-07-08
10284,Masali,Murrill,Engineer,1954-04-08
10286,Saddek,Gopalakrishnan,Staff,1952-05-14
10294,Rutger,Miara,Senior Engineer,1955-01-05
10295,Kristine,Velardi,Senior Staff,1953-01-13
10298,Dietrich,DuCasse,Staff,1954-07-06
10302,Faiza,Baer,Senior Staff,1954-10-11
10305,Hirochika,Piancastelli,Engineer,1952-06-30
10306,Heng,Kilgour,Staff,1953-06-02
10307,Nikolaos,Leaver,Engineer,1955-07-20
10321,Guenter,Ravishankar,Staff,1955-12-12
10322,Isamu,Dahlbom,Senior Engineer,1954-05-28
10325,Arunachalam,Badr,Senior Staff,1953-01-12
10326,Masali,Czap,Staff,1953-02-13
10327,Roded,Facello,Engineer,1954-04-01
10328,Serenella,Kawashima,Engineer,1955-06-28
10333,Snehasis,Dymetman,Senior Engineer,1953-04-27
10340,Djelloul,Laventhal,Senior Staff,1952-08-20
10343,Dinah,Syrzycki,Senior Engineer,1954-11-01
10347,Pradeep,Kaminger,Staff,1953-10-03
10349,Oksana,Brodie,Senior Staff,1954-04-29
10350,Kristen,Kavvadias,Engineer,1954-11-14
10353,Phule,Hammerschmidt,Senior Staff,1953-01-15
10355,Satyanarayana,Cochrane,Staff,1952-12-10
10356,Vasilis,Standera,Senior Staff,1952-08-12
10358,Qunsheng,Tagansky,Technique Leader,1953-04-08
10363,Toshiki,Muniz,Assistant Engineer,1953-11-28
10364,Nakhoon,Dengi,Senior Engineer,1954-09-21
10367,Hyuckchul,Gini,Senior Staff,1955-12-24
10372,Anneli,Frijda,Technique Leader,1952-04-08
10374,Willard,Rosin,Staff,1955-10-08
10377,Marl,Grospietsch,Senior Engineer,1954-08-19
10382,Shirish,Dredge,Engineer,1955-06-12
10387,Parto,Wrigley,Senior Staff,1952-11-03
10388,Hironoby,Kaiser,Staff,1953-03-29
10389,Make,Peir,Technique Leader,1953-03-24
10395,Takahiro,Deverell,Engineer,1952-02-17
10396,Sibyl,Rahier,Senior Engineer,1955-08-21
10397,Irena,Reutenauer,Technique Leader,1955-11-11
10402,Volkmar,Ebeling,Technique Leader,1953-07-23
10404,Prodip,Rosti,Senior Engineer,1955-04-27
10407,Ulf,Siepmann,Senior Staff,1955-07-05
10413,Danel,Impagliazzo,Senior Staff,1952-05-05
10414,Yinlin,Alpin,Senior Engineer,1954-04-09
10418,Candida,Porotnikoff,Staff,1952-06-29
10422,Greger,Rubsam,Engineer,1954-06-02
10426,Arunas,Luce,Technique Leader,1955-12-28
10429,Martien,Improta,Senior Engineer,1952-02-13
10432,Hisao,Tiemann,Senior Staff,1953-11-06
10433,Reuven,Dengi,Engineer,1954-09-02
10442,Volkmar,Unno,Senior Staff,1955-09-09
10443,Shichao,Litvinov,Senior Engineer,1952-12-03
10451,Bodh,Ranta,Senior Engineer,1952-10-06
10453,Tsvetan,Matzel,Senior Staff,1953-07-19
10463,Ung,Zaiane,Staff,1954-05-20
10466,Jiakeng,Himler,Staff,1954-12-25
10477,Guoxiang,Trogemann,Senior Engineer,1952-12-07
10486,Amstein,Kossowski,Senior Engineer,1952-08-24
10494,Yakkov,Servieres,Senior Engineer,1953-12-21
10497,Pramod,Rabehasaina,Senior Engineer,1953-06-09
10499,Maik,Luft,Senior Staff,1953-10-04
10503,Dannz,Pell,Engineer,1952-05-17
10504,Xiong,Varker,Staff,1953-04-07
10509,Abdelwaheb,Riesenhuber,Senior Staff,1953-10-03
10512,Udi,Gihr,Senior Staff,1955-11-16
10517,Tiina,Speek,Senior Staff,1953-06-18
10519,Yonghoan,Alencar,Senior Staff,1955-12-28
10522,Marke,Cesareni,Senior Staff,1955-07-24
10529,Ymte,Yetto,Assistant Engineer,1952-11-21
10531,Oguz,Gimbel,Staff,1954-06-11
10538,Przemyslawa,Falby,Senior Engineer,1955-08-18
10541,Godehard,Eiter,Staff,1955-11-05
10542,Yannis,Couchot,Senior Engineer,1955-01-05
10548,Ramalingam,Gunderson,Senior Staff,1952-06-12
10552,Kazuhito,Shiratori,Senior Engineer,1953-03-25
10564,Jianhao,Thisen,Senior Engineer,1955-04-14
10568,Gao,Poulakidas,Staff,1953-12-02
10575,Theirry,Yeung,Senior Engineer,1954-06-29
10586,Kirk,Vuskovic,Senior Engineer,1954-06-23
10591,Hidde,Hettesheimer,Staff,1952-12-22
10593,Falguni,Kenevan,Senior Engineer,1952-07-24
10596,Sanjit,Coors,Senior Staff,1954-01-24
10603,Wayne,Restivo,Staff,1955-08-02
10608,Adhemar,Talmor,Senior Engineer,1955-07-11
10610,Irena,Roccetti,Engineer,1955-06-24
10614,Gila,Ozeri,Senior Engineer,1953-07-11
10615,Keung,Delgrande,Senior Staff,1955-08-30
10617,Hidekazu,Angel,Senior Staff,1955-01-26
10623,Aleksander,Danlos,Senior Engineer,1953-07-11
10624,Sham,Gyorkos,Technique Leader,1955-12-19
10628,Krisda,Krogh,Senior Engineer,1954-04-18
10629,Lalit,Francisci,Staff,1954-03-23
10630,Bezalel,Katzenelson,Engineer,1954-08-10
10631,Inderjeet,Chaudhuri,Engineer,1955-05-17
10634,Nahid,Chepyzhov,Senior Engineer,1954-08-01
10636,Saeko,Porotnikoff,Staff,1955-08-25
10637,Heejo,Frolund,Senior Staff,1954-07-11
10639,Pramod,Erol,Senior Engineer,1953-04-18
10641,Guozhong,Zucker,Engineer,1953-12-24
10642,Hirochika,Narlikar,Engineer,1955-12-19
10653,Otmar,Feinberg,Senior Engineer,1953-06-16
10667,Makato,Cusworth,Senior Staff,1955-08-05
10671,Parviz,Rebaine,Senior Staff,1953-06-12
10672,Bluma,Zeilberger,Senior Engineer,1954-03-23
10676,Valeri,Danley,Engineer,1953-08-26
10683,Guiseppe,Stranks,Senior Engineer,1952-06-18
10693,Berhard,Daescu,Senior Staff,1953-12-14
10694,Rildo,Straney,Senior Staff,1955-12-16
10696,Unal,Fendler,Technique Leader,1952-03-23
10702,Bader,Szemeredi,Senior Engineer,1952-11-25
10712,Uma,Koprowski,Senior Engineer,1952-04-12
10718,Adib,Rullman,Senior Engineer,1955-12-19
10726,Zita,Minakawa,Senior Engineer,1954-01-11
10731,Fumitaka,Peak,Senior Staff,1952-11-17
10734,Sachar,Erdi,Engineer,1954-07-06
10741,Sven,Huttel,Senior Staff,1954-01-02
10742,Shim,Wiegley,Technique Leader,1955-03-13
10745,Poorav,Ranze,Senior Engineer,1953-10-23
10747,Falguni,Khalid,Senior Engineer,1955-02-02
10749,King,Brendel,Senior Engineer,1955-08-21
10750,Roddy,Demeyer,Technique Leader,1953-06-14
10751,Jordanka,Ushiama,Engineer,1952-12-02
10764,Yunming,Beetstra,Senior Engineer,1953-01-12
10767,Monique,Doering,Staff,1954-02-28
10768,Ishfaq,Candan,Senior Engineer,1955-06-24
10777,Mizuhito,Kemmerer,Senior Engineer,1955-08-11
10778,Selwyn,Merey,Senior Staff,1953-03-13
10780,Goncalo,Staudhammer,Engineer,1955-09-12
10782,Kish,Perna,Staff,1952-09-18
10791,Tadahiko,Sgarro,Senior Engineer,1954-05-27
10795,Supot,Naudin,Senior Staff,1954-12-14
10801,Uinam,Zschoche,Engineer,1953-03-05
10803,Katsuyuki,Velasco,Senior Engineer,1952-09-15
10808,Chenxi,Leijenhorst,Senior Engineer,1955-09-11
10811,Ashish,Fortenbacher,Engineer,1954-06-29
10813,Shalesh,Shumilov,Senior Staff,1954-07-04
10814,Nidapan,Dymetman,Senior Staff,1952-09-17
10826,Arnd,Anandan,Senior Engineer,1952-12-06
10827,Willard,Danley,Staff,1953-09-25
10829,Alper,Narahara,Staff,1955-07-11
10830,Fen,Fiebach,Senior Staff,1954-08-17
10831,Toong,Driscoll,Technique Leader,1953-10-11
10833,Krisda,Gecseg,Technique Leader,1953-04-12
10834,Huiqun,Rajcani,Engineer,1954-12-16
10835,Tomoyuki,Kermarrec,Engineer,1952-11-23
10836,Jianhua,Leivant,Senior Staff,1953-07-15
10844,Dipayan,Koprowski,Engineer,1954-02-03
10846,Tokuyasu,Serre,Senior Engineer,1952-06-27
10847,Theirry,Danley,Senior Staff,1952-03-04
10848,Fen,Bratsberg,Senior Engineer,1954-07-16
10849,Makato,Mayerwieser,Engineer,1953-03-05
10854,Jagoda,Nannarelli,Engineer,1954-08-11
10858,Kenroku,Gonthier,Senior Engineer,1952-10-01
10867,Billur,Gyorkos,Engineer,1952-10-01
10871,Aram,Gilg,Staff,1952-10-24
10872,Karoline,Speel,Senior Staff,1952-02-21
10873,Sukumar,Wegerle,Staff,1952-07-09
10876,Vincent,Papastamatiou,Staff,1955-08-05
10878,Lakshmi,Deville,Staff,1952-06-13
10879,Muzhong,Chleq,Senior Engineer,1953-08-18
10882,Fun,Heuser,Engineer,1953-11-01
10883,Shimshon,Champarnaud,Engineer,1952-07-30
10885,Rayond,Cronau,Senior Staff,1953-05-06
10887,Lunjin,DeMori,Senior Engineer,1953-01-16
10895,Vishwani,Petersohn,Staff,1952-03-21
10900,Ferdinand,Prenel,Senior Engineer,1955-07-18
10906,Munehiro,Carrere,Staff,1952-02-06
10909,Georgi,Atchley,Senior Engineer,1954-11-11
10912,Oscal,Fasbender,Senior Staff,1952-07-27
10913,Narain,Thummel,Staff,1952-09-03
10918,Susumu,Reghbati,Staff,1954-12-26
10920,Ronghao,Narahara,Senior Staff,1955-04-08
10921,Mara,Bahi,Senior Engineer,1955-07-20
10922,Kyoichi,Wossner,Staff,1953-10-27
10924,Hironoby,Atchley,Senior Staff,1954-04-27
10926,Leni,Eppinger,Senior Engineer,1954-10-13
10927,Gal,Scallan,Senior Staff,1953-03-13
10930,Arch,Minakawa,Senior Engineer,1954-01-13
10932,Avishai,Picci,Senior Engineer,1955-11-19
10936,Mountaz,Schicker,Senior Staff,1953-04-08
10940,Aleksander,Fioravanti,Engineer,1953-01-07
10942,Toshimitsu,Larfeldt,Engineer,1952-08-08
10943,Berna,Skafidas,Senior Engineer,1955-11-19
10944,Remko,Zyda,Senior Engineer,1952-05-25
10947,Gor,Usery,Senior Staff,1954-09-29
10948,Shigehito,Brodie,Senior Engineer,1952-12-23
10949,Shigeichiro,Wroclawski,Senior Staff,1953-08-14
10956,Arno,Picel,Engineer,1955-02-02
10965,Eckart,Braunschweig,Senior Staff,1955-07-10
10969,Premal,Noriega,Senior Engineer,1954-09-05
10971,Isamu,Vadhan,Technique Leader,1955-02-08
10974,Muneo,Papsdorf,Senior Engineer,1952-03-07
10985,Chiradeep,Furedi,Engineer,1952-05-31
10986,Masako,Schiper,Technique Leader,1954-08-11
10987,Flemming,Baezner,Engineer,1952-11-26
10988,Chinya,Deyuan,Senior Engineer,1955-06-24
10989,Sumali,Candan,Senior Staff,1954-09-08
10990,Shin,Foote,Technique Leader,1954-10-22
10996,Matk,Rahimi,Senior Staff,1955-02-01
11002,Bluma,Ulupinar,Senior Staff,1952-02-26
11004,JoAnna,Decleir,Senior Engineer,1954-08-05
11009,Alper,Axelband,Senior Staff,1954-08-30
11012,Taegyun,Speckmann,Staff,1953-09-12
11019,Leon,Huttel,Senior Engineer,1954-09-06
11021,Srinidhi,Henders,Staff,1954-07-13
11024,Manton,Collavizza,Staff,1954-06-17
11027,Remzi,Cappello,Senior Engineer,1955-12-13
11028,Miyeon,Krider,Senior Engineer,1952-02-23
11031,Ottavia,Walstra,Senior Staff,1954-12-20
11032,Erez,Schaaf,Staff,1953-04-19
11037,Lansing,Maliniak,Senior Engineer,1952-05-22
11038,Jinya,Beidas,Senior Staff,1955-10-13
11042,Gou,Breugel,Senior Engineer,1955-07-13
11048,Jaques,Demke,Senior Staff,1952-10-26
11050,Elvis,Katiyar,Senior Staff,1952-09-23
11051,Przemyslawa,Erol,Senior Engineer,1952-10-06
11056,Palash,Speel,Staff,1955-10-24
11060,Genevieve,Pokrovskii,Staff,1953-06-30
11061,Pintsang,Erni,Senior Staff,1954-11-11
11064,Shawna,Vieri,Senior Engineer,1952-08-10
11066,Shaz,Langford,Senior Staff,1954-11-06
11070,Adib,Raney,Senior Engineer,1952-06-30
11071,Kwan,Sigstam,Senior Engineer,1954-07-18
11075,Karsten,Belinskaya,Senior Engineer,1954-10-28
11077,Hideyuki,Merro,Senior Staff,1953-01-28
11079,Piyush,Garigliano,Senior Engineer,1952-09-18
11081,Barry,Boyle,Senior Staff,1952-06-20
11083,Shimshon,Ducloy,Senior Staff,1954-07-09
11084,Greger,Senzako,Senior Engineer,1955-07-03
11085,Hailing,Thummel,Senior Engineer,1953-09-08
11087,Changho,Jayawardene,Senior Engineer,1954-05-17
11089,Conal,Henders,Senior Staff,1955-02-18
11091,Souichi,Ramsay,Engineer,1952-10-10
11092,Narain,Stamatiou,Staff,1954-09-28
11098,Arnd,Covnot,Engineer,1953-09-11
11100,Berna,Cochrane,Senior Staff,1955-10-14
11106,Aris,Iwayama,Senior Engineer,1955-02-23
11110,Valeska,Birjandi,Staff,1955-12-11
11111,Udi,Zastre,Assistant Engineer,1954-07-14
11112,Boaz,Mukaidono,Staff,1954-08-05
11113,Shahab,Peng,Senior Staff,1953-04-28
11114,Tse,Felcyn,Staff,1955-09-08
11119,Ramzi,Luga,Engineer,1955-07-09
11121,Vugranam,Kakkad,Senior Engineer,1953-02-13
11130,Xinyu,Menhoudj,Senior Staff,1953-01-17
11132,Kristin,Harnett,Senior Engineer,1952-08-01
11133,Nalini,Azulay,Technique Leader,1955-12-13
11134,Sachar,Rajcani,Senior Engineer,1954-05-15
11137,Hugh,Luca,Engineer,1955-03-17
11139,Bogdan,Homond,Senior Staff,1955-10-13
11143,Yongdong,Rosen,Engineer,1955-03-06
11144,Carrsten,Heinisuo,Senior Staff,1954-12-07
11145,Jinxi,Baak,Engineer,1954-01-14
11146,Ishfaq,Masand,Senior Staff,1954-06-25
11147,Ayonca,Nitsch,Engineer,1955-09-26
11148,Zhanqiu,Botman,Senior Staff,1953-01-23
11156,Tomoyuki,Armand,Staff,1954-04-13
11158,Masaki,Hagimont,Senior Engineer,1952-02-23
11162,Kauko,Narlikar,Senior Engineer,1953-03-25
11168,Shmuel,Tetzlaff,Senior Staff,1953-05-03
11170,Minghong,Cannard,Senior Engineer,1952-05-05
11174,Akhilish,Milicia,Engineer,1952-09-14
11177,Chrisa,dAstous,Senior Engineer,1954-04-09
11180,Mitsuyuki,Bojadziev,Senior Engineer,1952-11-07
11181,Hausi,Cullers,Engineer,1952-05-28
11185,Aloys,Baezner,Senior Staff,1954-04-10
11186,Kshitij,Stasinski,Senior Engineer,1953-07-15
11189,Dante,Bodoff,Senior Staff,1953-03-07
11192,Apostol,Bahr,Engineer,1952-09-06
11195,Masanao,Lovengreen,Senior Engineer,1953-09-04
11197,Tadahiro,Fordan,Senior Staff,1955-05-11
11201,Jouko,Masaki,Staff,1952-05-20
11203,Sakthirel,Yetto,Senior Staff,1952-06-24
11204,Diederik,Covnot,Technique Leader,1955-12-15
11206,Steen,Sury,Staff,1954-07-14
11207,Saeed,Gips,Engineer,1955-08-14
11208,Saniya,Valtorta,Technique Leader,1952-05-29
11211,Yurij,Rissland,Senior Engineer,1952-12-11
11213,Vugranam,Munoz,Technique Leader,1955-10-19
11217,Kellie,Mawatari,Senior Engineer,1954-07-01
11218,Kirk,Hemaspaandra,Technique Leader,1953-06-03
11221,Alselm,Hammerschmidt,Engineer,1953-11-29
11229,Gretta,Ramamoorthy,Senior Engineer,1953-10-20
11232,Hidefumi,Crelier,Senior Staff,1955-09-03
11233,Sanjit,Waschkowski,Senior Engineer,1952-05-08
11240,Kiam,Condotta,Engineer,1955-08-12
11243,Udi,Desikan,Assistant Engineer,1955-06-14
11249,Randi,Cyre,Engineer,1954-10-01
11251,Bezalel,Chinal,Senior Staff,1955-10-16
11253,Koldo,Pokrovskii,Senior Engineer,1952-09-11
11254,Danel,Rindone,Staff,1954-12-14
11258,Aris,Maccarone,Senior Staff,1953-10-12
11266,Florina,Rohrbach,Senior Engineer,1955-08-09
11267,Shaunak,Zaumen,Senior Engineer,1955-10-18
11268,Aimee,Petersohn,Senior Engineer,1954-05-14
11274,Masanao,Nicolson,Staff,1954-09-08
11275,Hitomi,Eppinger,Senior Engineer,1955-10-18
11288,Domenico,Eastman,Senior Staff,1953-03-23
11289,Chuanti,Cherinka,Senior Engineer,1953-03-20
11290,Visit,Dredge,Engineer,1953-05-07
11291,Gino,Glowinski,Senior Engineer,1953-11-01
11292,Souichi,Sichman,Senior Engineer,1953-05-18
11294,Tru,Segond,Senior Engineer,1954-06-11
11295,Abdelkader,Lanzelotte,Senior Staff,1953-02-03
11296,Hironobu,Kenevan,Senior Engineer,1954-12-24
11297,Geraldo,Levergood,Engineer,1954-03-19
11300,Lillian,Fontet,Engineer,1952-12-14
11301,Mingzeng,Oxenboll,Senior Staff,1953-08-19
11302,Shem,Senzako,Staff,1955-06-20
11315,Neven,Meriste,Staff,1955-04-21
11317,Shigeaki,Hagimont,Senior Staff,1954-07-24
11319,Pranas,Marrakchi,Assistant Engineer,1955-06-05
11320,Atilio,McAlpine,Senior Staff,1954-04-13
11322,Nathalie,Pocchiola,Senior Engineer,1952-07-19
11324,Kauko,Billingsley,Senior Engineer,1953-11-16
11325,Samphel,Rossi,Engineer,1952-02-06
11326,Munenori,Plesums,Senior Engineer,1952-09-15
11338,Kwangsub,Hanratty,Senior Staff,1954-11-03
11339,Flemming,Massonet,Senior Engineer,1954-06-05
11340,Aris,Bala,Senior Engineer,1952-12-04
11343,Susanne,Erez,Senior Engineer,1954-09-10
11347,Anneli,Jonsson,Senior Engineer,1954-12-27
11349,Yurii,Hammerschmidt,Engineer,1953-09-05
11360,Fen,Schach,Senior Staff,1953-05-24
11365,Toshimi,Shinomoto,Engineer,1953-11-17
11372,Susanta,Vilarrasa,Senior Staff,1953-09-04
11373,Yongmao,Keohane,Senior Staff,1953-07-29
11376,Valery,Suomi,Senior Staff,1952-03-10
11380,Kenroku,Pelc,Senior Engineer,1952-04-23
11385,Shiv,Ullian,Engineer,1952-03-04
11386,Alselm,Assaf,Senior Engineer,1954-09-27
11387,Jordanka,Kalloufi,Engineer,1954-07-18
11393,Junsik,Junot,Senior Engineer,1954-05-17
11396,Anneke,Servieres,Engineer,1955-02-06
11398,Oscar,Peir,Senior Staff,1953-05-30
11401,Huan,Merey,Staff,1952-12-20
11404,Bedrich,Borovoy,Technique Leader,1954-09-15
11406,Eberhardt,Gini,Senior Staff,1955-04-11
11410,Gro,Vendrig,Engineer,1953-11-27
11414,Eishiro,Pearson,Senior Staff,1952-08-08
11415,Sanjiv,Anido,Engineer,1953-10-29
11417,Anneli,Cyne,Technique Leader,1954-11-20
11418,Satosi,Cooley,Senior Staff,1954-03-21
11420,Tsutomu,Lalonde,Senior Staff,1955-04-30
11421,Josyula,Msuda,Senior Engineer,1953-11-07
11423,Guangming,Kopetz,Staff,1954-09-16
11425,Renee,Crelier,Senior Engineer,1955-11-20
11428,Remco,Reinhart,Engineer,1953-07-08
11431,Youngkon,Picht,Senior Staff,1954-08-05
11441,Marlo,Aingworth,Senior Staff,1954-11-16
11446,Naftali,Narahara,Senior Engineer,1954-06-20
11449,Kotesh,Asser,Senior Engineer,1955-03-30
11451,Eben,Rajaraman,Senior Engineer,1955-05-05
11452,Shigehito,Luby,Senior Staff,1953-01-16
11459,Duke,Suomi,Senior Staff,1953-10-14
11460,Mana,Maraist,Senior Engineer,1955-11-19
11461,Kish,Cronau,Senior Engineer,1955-04-18
11468,Navin,Maksimenko,Staff,1955-12-02
11469,Guttorm,Giaccio,Senior Engineer,1952-12-01
11474,Gennady,Akazan,Engineer,1953-04-17
11476,Manton,Yoshizawa,Staff,1954-06-20
11477,Fox,Narahari,Engineer,1955-05-15
11479,Shridhar,Pleszkun,Staff,1953-12-02
11501,Karsten,Ranum,Senior Staff,1952-03-26
11503,Nathan,Picht,Senior Engineer,1953-08-01
11506,Rance,Picel,Staff,1955-06-16
11509,Aleksander,Feldhoffer,Senior Engineer,1954-06-18
11513,Otmar,Mahnke,Senior Staff,1954-07-16
11515,Ulf,Basawa,Staff,1955-03-03
11518,Jinxi,Oxman,Senior Staff,1953-07-21
11519,Halsur,Chinen,Senior Staff,1954-11-26
11521,Eldridge,Eastman,Staff,1952-06-14
11523,Yuguang,Pezzoli,Engineer,1953-01-25
11524,Xiadong,Standera,Senior Engineer,1955-10-26
11526,Tonny,Impagliazzo,Senior Staff,1954-04-19
11527,Alagu,Boyle,Staff,1952-02-06
11528,Zito,Dolinsky,Technique Leader,1955-04-26
11531,Radhika,Motley,Technique Leader,1952-09-08
11533,Vitaly,Lorch,Technique Leader,1953-10-30
11537,DAIDA,Pehl,Senior Staff,1955-06-29
11540,Chanjung,Portugali,Senior Engineer,1954-01-26
11554,Subhash,Taubenfeld,Staff,1955-05-28
11555,Kotesh,Perfilyeva,Senior Staff,1955-08-05
11562,Rimli,Alencar,Engineer,1953-06-22
11567,Teiji,Mitzlaff,Senior Staff,1954-07-06
11568,Martins,Fujisaki,Senior Engineer,1955-12-01
11573,Pranas,Hutton,Senior Engineer,1952-12-18
11575,Godehard,Plotkin,Engineer,1955-02-22
11577,Mayumi,Deyuan,Senior Engineer,1953-01-11
11578,Edwin,Rosti,Senior Engineer,1953-12-22
11581,Patricio,Rosenbaum,Senior Engineer,1953-04-12
11587,Shem,Zambonelli,Senior Engineer,1954-07-04
11588,Kaijung,Panangaden,Senior Staff,1952-07-20
11589,Gina,Plessier,Senior Engineer,1955-01-10
11595,Takanari,Kamber,Senior Staff,1953-02-26
11596,Yannik,Gunderson,Staff,1952-12-22
11597,Yongdong,Talmon,Senior Engineer,1955-04-10
11602,Somnath,Malabarba,Senior Staff,1953-08-09
11603,Herb,Swen,Senior Staff,1954-12-07
11606,Perry,Pepe,Senior Staff,1952-11-05
11607,Tomokazu,Foong,Engineer,1953-12-03
11615,Shem,Isaak,Senior Staff,1955-03-05
11616,Zhilian,Brendel,Engineer,1954-07-12
11624,Adil,Gammage,Senior Engineer,1955-05-16
11628,Fan,Malinowski,Senior Engineer,1952-02-14
11636,Fumitaka,Shiratori,Engineer,1955-06-16
11640,Valeri,Coorg,Senior Engineer,1953-10-06
11641,Chikako,Rothenberg,Senior Engineer,1955-10-13
11644,Sanjit,Zaiane,Assistant Engineer,1952-04-08
11646,Lobel,Rubsam,Engineer,1953-06-22
11647,Magy,Nitsche,Senior Engineer,1953-10-13
11649,Shen,Bernardinello,Technique Leader,1954-10-07
11660,Gill,Stenning,Senior Staff,1955-07-19
11664,Oksana,Brizzi,Senior Staff,1955-08-27
11667,Kristian,Marchegay,Senior Staff,1955-05-15
11673,Henk,Felder,Technique Leader,1954-12-20
11676,Valeri,Ferriere,Engineer,1952-04-12
11681,Fumitake,Benzmuller,Senior Engineer,1952-05-15
11684,Oksana,Gide,Senior Staff,1953-03-07
11686,Nadjib,Srimani,Senior Staff,1952-11-14
11690,Domenick,Raczkowsky,Staff,1953-11-10
11693,Hideo,Coorg,Senior Engineer,1952-02-15
11696,Dante,Rothe,Senior Staff,1954-10-26
11705,Arve,Hofmeyr,Senior Staff,1954-11-26
11708,Chenye,Angot,Staff,1953-12-22
11713,Danel,Heusch,Senior Engineer,1952-02-27
